#Data,
#Attribution: IMD - India Meteorological Department  http://www.imd.gov.in/,
date,pm25
4/20/2018 0:00,92
4/19/2018 23:00,89
4/19/2018 22:00,75
4/19/2018 21:00,57
4/19/2018 20:00,57
4/19/2018 19:00,29
4/19/2018 18:00,40
4/19/2018 17:00,33
4/19/2018 16:00,66
4/19/2018 15:00,61
4/19/2018 14:00,54
4/19/2018 13:00,47
4/19/2018 12:00,53
4/19/2018 11:00,70
4/19/2018 10:00,132
4/19/2018 9:00,111
4/19/2018 8:00,242
4/19/2018 7:00,303
4/19/2018 6:00,211
4/19/2018 5:00,124
4/19/2018 4:00,125
4/19/2018 3:00,144
4/19/2018 2:00,88
4/19/2018 1:00,84
4/19/2018 0:00,79
4/18/2018 23:00,81
4/18/2018 22:00,81
4/18/2018 21:00,55
4/18/2018 20:00,26
4/18/2018 19:00,27
4/18/2018 18:00,9
4/18/2018 17:00,24
4/16/2018 2:00,278
4/16/2018 1:00,180
4/16/2018 0:00,118
4/15/2018 23:00,88
4/15/2018 22:00,110
4/15/2018 21:00,63
4/15/2018 20:00,55
4/15/2018 19:00,50
4/15/2018 18:00,34
4/15/2018 17:00,39
4/15/2018 16:00,36
4/15/2018 15:00,19
4/15/2018 14:00,8
4/15/2018 13:00,9
4/15/2018 12:00,27
4/15/2018 11:00,141
4/15/2018 10:00,175
4/15/2018 9:00,316
4/15/2018 8:00,345
4/15/2018 7:00,356
4/15/2018 6:00,326
4/15/2018 5:00,301
4/15/2018 4:00,321
4/15/2018 3:00,204
4/15/2018 2:00,183
4/15/2018 1:00,187
4/15/2018 0:00,234
4/14/2018 23:00,160
4/14/2018 22:00,100
4/14/2018 21:00,61
4/14/2018 20:00,46
4/14/2018 19:00,42
4/14/2018 18:00,17
4/14/2018 17:00,19
4/14/2018 16:00,12
4/14/2018 15:00,4
4/14/2018 14:00,-
4/14/2018 13:00,11
4/14/2018 12:00,45
4/14/2018 11:00,96
4/14/2018 10:00,277
4/14/2018 9:00,326
4/14/2018 8:00,308
4/14/2018 7:00,307
4/14/2018 6:00,262
4/14/2018 5:00,220
4/14/2018 4:00,160
4/14/2018 3:00,156
4/14/2018 2:00,282
4/14/2018 1:00,291
